filename,label,transcription
audio_1261.wav,1.0,Takk for ating mediet! my favorite hobby is cultivation of plants such as gardening officer revending the experience with a gardening I can gain immense of immense of plants to plant and the flowers and helps to and vegetables Thank you.
audio_942.wav,1.5,The playground looks like very clear and neat as there are lot of colorful things like a basketball court for playing or Or we can do gym swing on swings. And they love each other.
audio_1110.wav,1.5,"My goal is to become an electrical employee and also I am studying Electrical and Electronics Engineering. To become an electrical engineer, I have to study about electrical and to achieve my goal is to have a about the electronics and we have prepared the topics thoroughly to reach the goals you"
audio_1024.wav,1.5,"My favorite place is in Andhra Pradesh. It is in Chitra district. It is the temple of Lord Venkateshwara Swami. It has seven hills to visit the temple. It is a good place to to receive the Tirumala for India year. Crores of people to visit the Lord Venkateshwara Swami. In Tirumala, have a lot of places to visit the tourists. In Tirumala, laddu is very famous. Laddu is very famous."
audio_538.wav,2.0,My favorite place is Ooty and Kodaikanal. My experience while traveling to the Ooty and Kodaikanal is very good. I traveled to the Ooty and Kodaikanal through a bus with my family and friends. I enjoyed a lot in the Ooty and Kodaikanal. The local foods in the Ooty and Kodaikanal are chocolates which were very sweeter than the ones in the Ooty and Kodaikanal. very sweeter than the honey experience it in very good many times yeah there is a particular time of day or season when this place is a magical in the month of january february or december also we have a most beautiful place one can visit.
audio_350.wav,2.5,Best day in life is earning money. For everyone its money is most important. So earning ourself is a thing when we start earning. So actually to earn money we have to know some skills. Even if we need money or to earn money we must complete our graduation or studies or need some skills. But if we earn money while we are educating like even in school times. So it times so it will be more best day for a any student so i i end some money using referral apps it makes a day uh which will be happy to everyone like me also it's the best day and when i feel i think about the day so it will be best than others because when we earn money on ourselves and to purchase something which we need so that the day is best day Thank you.
audio_64.wav,2.0,yeah um i have a soy crowded market there are different types of the people out there it's a very crowded with a large number of people on one side some people are selling vegetables some people are selling fruits and some are selling other essential products that are required for the humans and when i hear here's about the market it's a fascinating It's a fascinating thing that there will be large number of the people And from morning to evening people work hard there to Fed up themselves for their feed and all and it's very That's it Продолжение следует...
audio_252.wav,2.0,"Asuka isu lakau, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, yu shu, y C'est ce que je veux dire. O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, Tantos et fiestas, vulta, vlaca, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, vvata, Sampai jumpa. Apulsa pascal, pascal dios. you"
audio_1304.wav,2.0,yes you can use the swing and the slide where you can where you can do activities such as such as dog plays you can also do like playing on the playground and also also do activities such as philippine common play activities with your classmates and with your friends What's on the video?
audio_1230.wav,2.5,"My town is my entire world. I was raised there. I have a lot of lovely memories of it. I used to play there with my friends and cousins during my early years. In my community, everyone co-dials. My town has many trees. think of one spot. I enjoyed very well in my town. My favorite place is my hometown. In my hometown, I enjoyed well. I get a lot of happiness from my hometown because of my friends, family and relatives. There is more uh,"
audio_133.wav,2.0,"So the topic is the scene of the crowded market. So after the COVID, after the COVID, the market is very crowded. So the people are buying and selling new technologies and new features of phones, laptop and electronic devices so that they can easily work them. And most likely we can hear in the market is like the cheap products and good features and good technologies that inside it and throughout the technologies increasing day by day all people are buy only technology related products like mobiles laptops tablets earbuds and bluetooth connecting devices thank you"
audio_790.wav,2.5,"While pedaling, the wind bob on my skin. I felt so free while doing it. Every time I leave my house, I don't make myself forget the tools so that if ever I get into an accident such as went and go home."
audio_947.wav,2.0,"Usually a playground looks very huge in a circular or like a bandage, curved around. Students like to play Coco, Faget, Denise, Van Winten. done running etc many other games hide and seek about the kids"
audio_288.wav,2.5,"On the best day of my life is the day the university I attended hosted a game, a sports festival called NUGA which comprises all the old country, all the old university, state university, federal university in my country whereby they come to, in particular my school, hosted a competition. I was so happy. What made it special because me seeing different people from different culture from different background in one place participating in sport i feel a lot that i was so happy whenever i think about this date that particular day i'm so happy because i'm the kind of person i love sports literally i participated in field hockey for my school in this particular day i played because i played field hockey for my school professionally and but i love football this was a very It was a very great day."
